Category,Item Name,Base Price,Variants,Station,Notes
Coffee - Hot,Brewed Coffee,59,Regular,prep,
Coffee - Hot,Americano,79,Regular,prep,
Coffee - Hot,Cafe Latte,89,Regular,prep,
Coffee - Hot,Salted Caramel,99,Regular,prep,
Coffee - Iced,Iced Americano,89,Regular,prep,
Coffee - Iced,Greek Frappe,99,Regular,prep,
Coffee - Iced,Iced Latte,89,Regular,prep,
Coffee - Iced,Iced Dalgona,99,Regular,prep,
Coffee - Iced,Iced Caramel Macchiato,109,Regular,prep,
Chocolates - Hot,Hot Chocolate,65,Regular,prep,
Chocolates - Hot,Hot Mocha,69,Regular,prep,
Chocolates - Iced,Iced Chocolate,89,Regular,prep,
Chocolates - Iced,Iced Chocolate Latte,99,Regular,prep,
Chocolates - Iced,Iced Chocolate Oreo,109,Regular,prep,
Chocolates - Iced,Iced Chocolate Strawberry,115,Regular,prep,
Milk Teas - Classics,Wintermelon,75,Regular,prep,
Milk Teas - Classics,Okinawa,89,Regular,prep,
Milk Teas - Classics,Taro,79,Regular,prep,
Milk Teas - Classics,Cookies & Cream,99,Regular,prep,
Milk Teas - Mango Series,Mango,95,Regular,prep,
Milk Teas - Mango Series,Iced Chocolate Mango,99,Regular,prep,
Milk Teas - Mango Series,Iced Mango Coffee,109,Regular,prep,
Milk Teas - Mango Series,Mang-Berry Cloud,69,Regular,prep,Buy 1 Take 1
Milk Teas - Mango Series,Mango Passion Fruit Cloud,69,Regular,prep,Buy 1 Take 1
Milk Teas - Mango Series,Mango Strawberry,109,Regular,prep,
Milk Teas - Matcha Series,Matcha,99,Regular,prep,
Milk Teas - Matcha Series,Dirty Matcha,99,Regular,prep,
Milk Teas - Matcha Series,Matcha Mango,109,Regular,prep,
Milk Teas - Matcha Series,Matcha Strawberry,109,Regular,prep,
Street Fizz,Berry Sunset,69,"12oz; 16oz (+10)",prep,
Street Fizz,Calamansi Spark,69,"12oz; 16oz (+10)",prep,
Street Fizz,Cucumber Breeze,69,"12oz; 16oz (+10)",prep,
Street Fizz,Guava Fizz,69,"12oz; 16oz (+10)",prep,
Street Fizz,Lychee Fizz,69,"12oz; 16oz (+10)",prep,
Street Fizz,Mango Sunset,69,"12oz; 16oz (+10)",prep,
Street Fizz,Passion Citrus Punch,69,"12oz; 16oz (+10)",prep,
Street Fizz,Strawberry Citrus Fizz,69,"12oz; 16oz (+10)",prep,
Street Fizz,Strawberry Sunset,69,"12oz; 16oz (+10)",prep,
Street Fizz,Tropical Sunset,69,"12oz; 16oz (+10)",prep,
Pastas,Garlic Tuna Penne,139,Regular,kitchen,
Pastas,Chicken Tomato Penne,149,Regular,kitchen,
Noodle Corner,Jjajangmyeon,99,Regular,kitchen,
Noodle Corner,Kimchi Ramen,149,Regular,kitchen,
Noodle Corner,Buldak Cheese,179,Regular,kitchen,
Noodle Corner,Pancit Canton Combo,99,Regular,kitchen,
Sandwiches,Egg & Toast,59,Regular,kitchen,
Sandwiches,Egg Sandwich,69,Regular,kitchen,
Sandwiches,Ham & Egg Sandwich,89,Regular,kitchen,
Barkada Favorites,Pinoy Barkada Platter,429,Regular,kitchen,
Barkada Favorites,K-Barkada Platter,399,Regular,kitchen,
Pitcher,Cucumber Cooler Pitcher,99,Regular,prep,
Pitcher,Mango Cooler Pitcher,99,Regular,prep,
Street Bites,French Fries (Solo),69,Regular,kitchen,
Street Bites,French Fries (Large),99,Regular,kitchen,
Street Bites,Street Bites Platter,125,Regular,kitchen,
